osm_id,name,golf_base,golf_elnino,golf_latest,ring_base,ring_elnino,ring_latest,gap_base,gap_elnino,gap_latest,cooling_signal,signal_2026
107017060,Canlubang Golf and Country Club,306.5788,309.7538,310.7748,306.5315,309.7371,311.086,0.0473,0.0167,-0.3112,-0.0306,-0.3585
8791554,Orchard Residential Estate Golf and Country Club,311.0082,313.5611,313.4295,311.9818,315.2541,315.6436,-0.9736,-1.693,-2.2141,-0.7193,-1.2405
2406385,Forest Hills Golf and Country Club,307.8638,309.4212,310.9998,307.6697,308.9167,310.5089,0.1941,0.5045,0.4909,0.3104,0.2968
106350883,Luisita Golf & Country Club,311.6684,316.1178,314.2832,314.5235,318.4253,318.2799,-2.8551,-2.3075,-3.9968,0.5475,-1.1417
10296616,Eagle Ridge Golf Club,308.8648,311.4613,311.5482,310.1237,313.4389,313.6392,-1.2589,-1.9776,-2.091,-0.7187,-0.8321
18207481,Sun Valley Golf Club,308.2608,310.2355,311.1374,308.6782,311.399,311.7944,-0.4174,-1.1635,-0.657,-0.7461,-0.2395
987623407,Sherwood Hills Golf Club,310.3313,310.8158,310.8215,310.2293,312.8212,312.4345,0.1019,-2.0053,-1.6129,-2.1073,-1.7149
1078077919,FA Korea Country Club,314.1364,317.4233,318.8212,313.632,317.5532,318.6189,0.5044,-0.1298,0.2023,-0.6342,-0.302
11907837,Riviera Golf Course,306.8397,310.4434,311.4955,307.1821,312.4831,313.0136,-0.3423,-2.0398,-1.5181,-1.6974,-1.1758
347091162,D'heights Golf Course,307.8153,309.9165,311.1005,308.4691,311.0588,311.6218,-0.6538,-1.1423,-0.5213,-0.4885,0.1325
146701718,Santa Elena Golf Course and Country Club,308.7386,310.2666,310.6806,310.4236,312.7676,312.9008,-1.685,-2.501,-2.2202,-0.816,-0.5352
16611953,Manila Southwoods Golf and Country Club,311.0551,311.4442,312.0824,314.1873,316.6311,316.9069,-3.1322,-5.1869,-4.8245,-2.0547,-1.6923
15571615,Pamplona Plantation Golf and Country Club,308.3915,314.8425,312.0076,308.3711,312.9796,312.095,0.0204,1.8629,-0.0874,1.8425,-0.1078
15979150,,313.2353,312.0895,315.5171,314.0713,313.404,316.9716,-0.836,-1.3145,-1.4545,-0.4785,-0.6185
4429331,Mimosa Golf & Country Club,311.3463,314.5361,313.3602,311.642,315.4186,314.4914,-0.2958,-0.8825,-1.1312,-0.5867,-0.8354
82710489,Wack Wack Golf and Country Club,310.9343,313.0059,313.0571,317.4151,319.6022,320.3109,-6.4808,-6.5963,-7.2537,-0.1155,-0.7729
178099994,Del Monte Golf and Country Club,304.8246,307.4331,309.015,305.5046,308.7766,309.3358,-0.6801,-1.3435,-0.3209,-0.6634,0.3592
128948346,The Country Club,308.7763,312.4083,312.4777,311.1687,314.2026,315.155,-2.3923,-1.7943,-2.6773,0.5981,-0.285
5172611,Malarayat Golf Course,307.875,309.4111,311.3291,309.0851,311.8005,314.3311,-1.21,-2.3894,-3.002,-1.1794,-1.792
148049007,Subic Golf Club,308.4281,308.1269,309.4197,306.4627,306.6322,307.5483,1.9654,1.4946,1.8714,-0.4708,-0.094
