osm_id,name,ring_grass_frac,golf_grass_base,golf_grass_elnino,golf_grass_latest,ring_grass_base,ring_grass_elnino,ring_grass_latest,matched_gap_base,matched_gap_elnino,matched_gap_latest,matched_signal,matched_signal_2026
107017060,Canlubang Golf and Country Club,0.1796,0.5753,0.5479,0.4911,0.5212,0.4607,0.4518,0.0541,0.0872,0.0393,0.0331,-0.0148
8791554,Orchard Residential Estate Golf and Country Club,0.2108,0.5442,0.5094,0.5413,0.4301,0.3413,0.4116,0.1142,0.1681,0.1298,0.0539,0.0156
2406385,Forest Hills Golf and Country Club,0.091,0.6069,0.6067,0.5898,0.4104,0.3929,0.3999,0.1966,0.2138,0.1899,0.0172,-0.0067
106350883,Luisita Golf & Country Club,0.1982,0.5633,0.5054,0.5236,0.4555,0.3326,0.3667,0.1078,0.1729,0.1569,0.0651,0.0491
10296616,Eagle Ridge Golf Club,0.2861,0.5439,0.5273,0.5741,0.4816,0.4201,0.4767,0.0622,0.1071,0.0974,0.0449,0.0352
18207481,Sun Valley Golf Club,0.0827,0.6536,0.6743,0.6709,0.3535,0.3119,0.3527,0.3001,0.3624,0.3182,0.0622,0.0181
987623407,Sherwood Hills Golf Club,0.1486,0.5369,0.5399,0.6283,0.4469,0.4035,0.4561,0.09,0.1364,0.1723,0.0464,0.0823
1078077919,FA Korea Country Club,0.3262,0.4831,0.4972,0.4282,0.3518,0.3146,0.2976,0.1313,0.1826,0.1306,0.0513,-0.0007
11907837,Riviera Golf Course,0.1229,0.5336,0.5184,0.5161,0.5137,0.4202,0.4327,0.02,0.0982,0.0834,0.0782,0.0634
347091162,D'heights Golf Course,0.1891,0.6689,0.6742,0.6118,0.4522,0.4395,0.4274,0.2168,0.2347,0.1843,0.018,-0.0324
146701718,Santa Elena Golf Course and Country Club,0.1236,0.6375,0.6724,0.6856,0.5053,0.4336,0.4658,0.1322,0.2388,0.2199,0.1065,0.0876
16611953,Manila Southwoods Golf and Country Club,0.078,0.6091,0.6477,0.635,0.4306,0.3791,0.4047,0.1785,0.2686,0.2303,0.09,0.0518
15571615,Pamplona Plantation Golf and Country Club,0.0414,0.5535,0.439,0.5487,0.5718,0.4855,0.5321,-0.0183,-0.0465,0.0165,-0.0282,0.0348
15979150,,0.1693,0.6008,0.5943,0.5974,0.3794,0.3681,0.3598,0.2214,0.2261,0.2376,0.0047,0.0162
4429331,Mimosa Golf & Country Club,0.1416,0.5292,0.5661,0.5917,0.442,0.382,0.3863,0.0872,0.1842,0.2054,0.0969,0.1182
82710489,Wack Wack Golf and Country Club,0.0009,0.6706,0.6116,0.6662,0.3363,0.2834,0.2164,0.3343,0.3282,0.4498,-0.006,0.1155
178099994,Del Monte Golf and Country Club,0.1342,0.6314,0.6405,0.5973,0.588,0.6506,0.598,0.0434,-0.0101,-0.0008,-0.0534,-0.0441
128948346,The Country Club,0.1613,0.5615,0.5775,0.6071,0.4905,0.4476,0.4236,0.0711,0.1298,0.1836,0.0588,0.1125
5172611,Malarayat Golf Course,0.2377,0.6376,0.5917,0.5931,0.5621,0.4236,0.3997,0.0755,0.1681,0.1934,0.0926,0.1179
148049007,Subic Golf Club,0.0206,0.6084,0.6223,0.5825,0.2995,0.326,0.3118,0.3089,0.2963,0.2707,-0.0126,-0.0382
238203194,Zamboanga City Golf Club and Beach Resort,0.0368,0.4982,0.3318,0.399,0.4852,0.4009,0.4488,0.0129,-0.0691,-0.0498,-0.0821,-0.0628
7896490,The Pinewoods Golf and Country Club,0.0755,0.5241,0.5094,0.5826,0.5332,0.4868,0.5289,-0.0092,0.0225,0.0537,0.0317,0.0628
31712056,Eastridge Golf & Country Club,0.0535,0.6048,0.5961,0.5386,0.3535,0.2599,0.3207,0.2513,0.3362,0.2179,0.0849,-0.0334
