osm_id,name,golf_base,golf_elnino,golf_latest,ring_base,ring_elnino,ring_latest,gap_elnino,gap_base,irrigation_signal
107017060,Canlubang Golf and Country Club,0.6632,0.6546,0.6226,0.6419,0.6291,0.6132,0.0255,0.0213,0.0043
8791554,Orchard Residential Estate Golf and Country Club,0.5286,0.4851,0.5307,0.4667,0.3961,0.4455,0.0889,0.0619,0.027
2406385,Forest Hills Golf and Country Club,0.6677,0.6433,0.6487,0.6529,0.6374,0.6421,0.0059,0.0147,-0.0088
106350883,Luisita Golf & Country Club,0.5899,0.5196,0.5628,0.4563,0.4104,0.4084,0.1092,0.1336,-0.0244
10296616,Eagle Ridge Golf Club,0.6046,0.5893,0.6332,0.5168,0.4715,0.5179,0.1178,0.0878,0.03
18207481,Sun Valley Golf Club,0.6283,0.6407,0.6465,0.5741,0.5422,0.5555,0.0985,0.0542,0.0443
987623407,Sherwood Hills Golf Club,0.5108,0.5625,0.665,0.4831,0.4545,0.5203,0.108,0.0278,0.0803
1078077919,FA Korea Country Club,0.4892,0.4997,0.4345,0.353,0.3282,0.3136,0.1715,0.1361,0.0353
11907837,Riviera Golf Course,0.5863,0.5743,0.5728,0.5667,0.5225,0.5137,0.0519,0.0196,0.0323
347091162,D'heights Golf Course,0.6982,0.6917,0.6561,0.5638,0.5351,0.5343,0.1566,0.1344,0.0222
146701718,Santa Elena Golf Course and Country Club,0.6257,0.6412,0.6622,0.5084,0.4888,0.5178,0.1524,0.1172,0.0352
16611953,Manila Southwoods Golf and Country Club,0.6099,0.6432,0.6341,0.4113,0.386,0.4026,0.2572,0.1985,0.0587
15571615,Pamplona Plantation Golf and Country Club,0.6131,0.4916,0.6021,0.6366,0.5706,0.6152,-0.0791,-0.0235,-0.0556
15979150,,0.5719,0.5553,0.5594,0.4546,0.3988,0.4093,0.1565,0.1173,0.0392
4429331,Mimosa Golf & Country Club,0.558,0.5846,0.6043,0.5054,0.4844,0.4864,0.1002,0.0526,0.0476
82710489,Wack Wack Golf and Country Club,0.6608,0.6191,0.6605,0.2316,0.2322,0.247,0.3869,0.4291,-0.0422
178099994,Del Monte Golf and Country Club,0.6589,0.6892,0.644,0.6296,0.6787,0.6436,0.0105,0.0293,-0.0188
128948346,The Country Club,0.5386,0.5523,0.579,0.4134,0.4046,0.4115,0.1477,0.1252,0.0225
5172611,Malarayat Golf Course,0.6352,0.5912,0.5942,0.5461,0.4505,0.4437,0.1407,0.0892,0.0516
148049007,Subic Golf Club,0.5781,0.5985,0.5759,0.7478,0.7303,0.7487,-0.1318,-0.1698,0.038
238203194,Zamboanga City Golf Club and Beach Resort,0.5947,0.4434,0.4968,0.3512,0.3376,0.3775,0.1059,0.2435,-0.1377
7896490,The Pinewoods Golf and Country Club,0.5224,0.5085,0.5825,0.5736,0.5455,0.5858,-0.037,-0.0512,0.0143
31712056,Eastridge Golf & Country Club,0.6205,0.5981,0.5663,0.5534,0.4436,0.4911,0.1545,0.0672,0.0873
144672538,Tagaytay Midlands Golf Club,0.5553,0.5814,0.6153,0.5558,0.4897,0.518,0.0917,-0.0005,0.0922
98969670,Alta Vista Golf & Country Club,0.6475,0.5146,0.6704,0.5869,0.4991,0.5824,0.0155,0.0605,-0.0451
1571908,Southlinks Golf Club,0.5608,0.3619,0.3176,0.3311,0.2999,0.3199,0.062,0.2297,-0.1677
152586409,Mercedes Plantation golf and Country Club,0.5888,0.5424,0.6309,0.2896,0.2886,0.3467,0.2538,0.2991,-0.0454
138947548,Summit Point Golf & Residential Estates,0.6061,0.6058,0.6018,0.6026,0.5193,0.4623,0.0865,0.0034,0.0831
1259077065,New Asia Golf & Spa Resort,0.3891,0.385,0.3652,0.3786,0.2946,0.2952,0.0904,0.0105,0.0799
1921827,Pueblo de Oro Golf and Country Club,0.5219,0.5471,0.6376,0.4616,0.4432,0.5278,0.1038,0.0603,0.0435
312033052,Calatagan Golf Club,0.6323,0.6262,0.6729,0.6192,0.6135,0.6326,0.0127,0.0131,-0.0004
