osm_id,name,golf_y2019,golf_y2020,golf_y2021,golf_y2022,golf_y2023,ring_y2019,ring_y2020,ring_y2021,ring_y2022,ring_y2023
107017060,Canlubang Golf and Country Club,0.6325,0.6391,0.7075,0.6506,0.6952,0.6153,0.6011,0.689,0.6762,0.6628
8791554,Orchard Residential Estate Golf and Country Club,0.5058,0.4958,0.5776,0.5344,0.5521,0.438,0.4174,0.5276,0.4734,0.495
2406385,Forest Hills Golf and Country Club,0.6394,0.628,0.6576,0.6913,0.693,0.6081,0.6056,0.6556,0.672,0.6992
106350883,Luisita Golf & Country Club,0.5752,0.5606,0.6366,0.6043,0.5745,0.4443,0.4253,0.5093,0.4894,0.4235
10296616,Eagle Ridge Golf Club,0.581,0.5974,0.6255,0.5954,0.6263,0.4861,0.4736,0.5732,0.5219,0.5595
18207481,Sun Valley Golf Club,0.5895,0.624,0.6135,0.629,0.6581,0.5527,0.5682,0.5868,0.5567,0.5724
987623407,Sherwood Hills Golf Club,0.4804,0.4627,0.5795,0.5305,0.5693,0.4875,0.46,0.5183,0.4645,0.5231
1078077919,FA Korea Country Club,0.4561,0.4634,0.4976,0.4996,0.5204,0.3187,0.3152,0.3827,0.3729,0.3903
11907837,Riviera Golf Course,0.5768,0.5635,0.5997,0.5831,0.6071,0.543,0.5499,0.6073,0.5501,0.5956
347091162,D'heights Golf Course,0.679,0.6821,0.7212,0.7051,0.698,0.5204,0.5018,0.5953,0.587,0.5844
146701718,Santa Elena Golf Course and Country Club,0.6339,0.6037,0.6398,0.6018,0.6458,0.4819,0.4697,0.5661,0.4952,0.5543
16611953,Manila Southwoods Golf and Country Club,0.5961,0.6131,0.5986,0.6166,0.6275,0.3884,0.414,0.4404,0.4147,0.4249
15571615,Pamplona Plantation Golf and Country Club,0.5587,0.6136,0.6862,0.71,0.513,0.5941,0.6593,0.683,0.6898,0.5349
15979150,,0.5718,0.5952,0.5486,0.5716,0.5673,0.4186,0.4614,0.4836,0.416,0.4379
4429331,Mimosa Golf & Country Club,0.5594,0.495,0.516,0.6091,0.585,0.4846,0.4608,0.5356,0.5233,0.5236
82710489,Wack Wack Golf and Country Club,0.6609,0.6585,0.6514,0.6661,0.6429,0.2298,0.2345,0.2348,0.2417,0.235
178099994,Del Monte Golf and Country Club,0.6452,0.564,0.7102,0.6848,0.6635,0.566,0.5255,0.68,0.6473,0.6666
128948346,The Country Club,0.545,0.5386,0.5553,0.5146,0.5506,0.3872,0.4029,0.4654,0.4017,0.4406
5172611,Malarayat Golf Course,0.6216,0.6529,0.6407,0.6086,0.65,0.4928,0.5685,0.5906,0.5455,0.5188
148049007,Subic Golf Club,0.5263,0.6067,0.6209,0.5868,0.5181,0.7255,0.737,0.7579,0.7575,0.7646
238203194,Zamboanga City Golf Club and Beach Resort,0.517,0.5246,0.7182,0.7218,0.5641,0.3488,0.3315,0.3713,0.3609,0.3663
7896490,The Pinewoods Golf and Country Club,0.4869,0.5175,0.5397,0.5666,0.5143,0.5295,0.5503,0.6157,0.6176,0.5788
31712056,Eastridge Golf & Country Club,0.6421,0.5936,0.6348,0.611,0.6242,0.5003,0.4884,0.6183,0.557,0.6064
144672538,Tagaytay Midlands Golf Club,0.5488,0.449,0.5234,0.6205,0.5897,0.5601,0.4016,0.5718,0.5792,0.571
98969670,Alta Vista Golf & Country Club,0.6297,0.6366,0.6582,0.7006,0.641,0.5781,0.5887,0.5957,0.5737,0.5901
1571908,Southlinks Golf Club,0.5377,0.4696,0.6674,0.5395,0.6447,0.3075,0.2976,0.377,0.3318,0.3612
152586409,Mercedes Plantation golf and Country Club,0.5242,0.5444,0.6765,0.6133,0.6306,0.2254,0.2737,0.3335,0.2753,0.33
138947548,Summit Point Golf & Residential Estates,0.591,0.645,0.6197,0.5601,0.614,0.542,0.6122,0.6481,0.5792,0.6085
1259077065,New Asia Golf & Spa Resort,0.3332,0.349,0.4399,0.4412,0.4767,0.357,0.3428,0.4601,0.369,0.4248
1921827,Pueblo de Oro Golf and Country Club,0.5024,0.4832,0.5679,0.6093,0.5645,0.4656,0.4176,0.5219,0.5298,0.5048
312033052,Calatagan Golf Club,0.64,0.6058,0.671,0.6111,0.6273,0.5847,0.5886,0.723,0.615,0.6591
220338864,Mayon Golf Course,0.6126,0.6313,0.6402,0.6088,0.6897,0.6293,0.6087,0.5782,0.5787,0.644
153513050,Evercrest Golf Club and Resort,0.6431,0.6106,0.6926,0.6842,0.7251,0.6779,0.6909,0.7246,0.7064,0.7278
173399846,Air Force City Golf Course,0.3235,0.3331,0.5168,0.3896,0.4223,0.2877,0.2982,0.3927,0.3562,0.362
99512563,Royal Northwoods,0.6499,0.6254,0.6437,0.6319,0.618,0.4371,0.4515,0.5502,0.5399,0.524
511373987,Victorias Golf and Country Club,0.564,0.7104,0.76,0.7367,0.7577,0.4258,0.5893,0.6204,0.6152,0.648
286864651,Hallow Ridge Filipinas Golf,0.565,0.5316,0.6286,0.6144,0.6264,0.4239,0.4158,0.4779,0.4589,0.4944
13509276,Ayala Greenfield Golf and Leisure Club,0.6357,0.6496,0.6659,0.6655,0.6396,0.6041,0.6885,0.6947,0.6883,0.6536
1120578954,South Pacific Davao Golf Club,0.5266,0.5882,0.5867,0.5902,0.567,0.5787,0.5816,0.6002,0.6248,0.5981
30478360,Apo Golf and Country Club,0.6529,0.7128,0.7632,0.7559,0.689,0.4583,0.4755,0.4963,0.5191,0.4851
17250995,Lakewood Golf Course,0.4953,0.444,0.5363,0.4678,0.4589,0.5619,0.5488,0.5594,0.5907,0.5945
4913973,Alabang Country Club,0.6681,0.6333,0.6883,0.6166,0.6402,0.4168,0.386,0.4281,0.3871,0.4219
1262766897,South Forbes Golf Club,0.6485,0.6127,0.6519,0.6237,0.6715,0.6179,0.6069,0.6449,0.6044,0.6598
128616401,Villamor Air Base Golf Course,0.6192,0.6156,0.667,0.6576,0.6409,0.1869,0.1751,0.1887,0.1919,0.1848
153513039,Splendido Golf Course,0.5219,0.5846,0.5915,0.5927,0.622,0.6978,0.6926,0.7406,0.7231,0.7406
269467713,Royal Garden Golf,0.472,0.4561,0.5161,0.4745,0.3287,0.2903,0.296,0.4081,0.3691,0.3927
9630843,Fairways and Bluewater Resort Golf and Country Club,0.3724,0.3553,0.5719,0.6014,0.5205,0.5075,0.4638,0.5487,0.5711,0.5742
67137399,Cebu Country Club,0.5539,0.6572,0.7047,0.6355,0.5925,0.228,0.2514,0.2702,0.2077,0.2282
244117954,Mactan Island Golf Club,0.5604,0.5818,0.7031,0.6144,0.5374,0.3123,0.3107,0.4021,0.2897,0.2758
83415116,Leyte Golf and Country Club,0.5637,0.6845,0.7217,0.76,0.7374,0.5916,0.6879,0.7204,0.729,0.7295
167420206,Iloilo Golf and Country Club,0.5364,0.6966,0.7113,0.5297,0.7493,0.5165,0.6076,0.6353,0.5274,0.6466
1415089965,,0.4158,0.4215,0.4497,0.5134,0.4633,0.7204,0.74,0.6959,0.7071,0.7104
8326757,Manila Golf and Country Club,0.7382,0.7405,0.6773,0.7029,0.7018,0.3207,0.3113,0.3132,0.3348,0.3342
246446745,,0.5325,0.512,0.5909,0.5904,0.566,0.4161,0.4416,0.4954,0.4863,0.4766
15273788,Zamora Championship Course,0.4091,0.5679,0.6098,0.6085,0.477,0.5538,0.5464,0.6044,0.5473,0.5645
245376615,San Juanico Golf And Country Club,0.5627,0.6083,0.6467,0.679,0.6784,0.6426,0.633,0.66,0.6849,0.6777
