osm_id,name,golf_n_base,golf_sd_base,golf_n_elnino,golf_sd_elnino,golf_n_latest,golf_sd_latest,ring_n_base,ring_sd_base,ring_n_elnino,ring_sd_elnino,ring_n_latest,ring_sd_latest
107017060,Canlubang Golf and Country Club,34.4255,0.1001,7.9958,0.0652,12.2175,0.0767,34.7208,0.1126,7.6785,0.0651,11.8917,0.0774
8791554,Orchard Residential Estate Golf and Country Club,50.3782,0.1009,13.4269,0.0598,13.0337,0.0721,50.9565,0.1112,13.6433,0.063,12.7651,0.0669
2406385,Forest Hills Golf and Country Club,85.4329,0.0938,18.707,0.0559,19.0998,0.0642,84.2209,0.1084,19.7303,0.0652,18.4014,0.0672
106350883,Luisita Golf & Country Club,117.9916,0.1072,25.819,0.1141,24.6694,0.0752,116.4212,0.1342,25.4854,0.1004,24.2398,0.0649
10296616,Eagle Ridge Golf Club,38.2513,0.088,9.3387,0.0595,12.7484,0.0579,39.1796,0.1096,9.1978,0.0686,12.9974,0.0699
18207481,Sun Valley Golf Club,82.397,0.108,21.0098,0.0601,16.0814,0.071,80.6237,0.1287,21.1643,0.0507,15.6157,0.0548
987623407,Sherwood Hills Golf Club,41.9944,0.1073,10.9605,0.0605,10.8787,0.0585,40.3484,0.1128,11.0507,0.0631,11.3515,0.0595
1078077919,FA Korea Country Club,99.9145,0.113,18.6576,0.0802,19.3316,0.0795,98.9047,0.1175,19.0524,0.0595,18.2733,0.0506
11907837,Riviera Golf Course,41.4196,0.087,8.1478,0.0611,13.8151,0.0625,39.7971,0.1175,7.916,0.0723,13.2964,0.0721
347091162,D'heights Golf Course,84.837,0.0877,16.6462,0.059,18.138,0.0617,84.9716,0.1219,16.0587,0.0821,17.5732,0.0614
146701718,Santa Elena Golf Course and Country Club,51.6233,0.0978,15.0136,0.0697,14.8897,0.0728,50.4385,0.1183,14.7295,0.0763,14.6802,0.0663
16611953,Manila Southwoods Golf and Country Club,51.0881,0.0836,12.6795,0.0555,13.5209,0.0693,50.4056,0.0998,12.5155,0.06,13.5335,0.0524
15571615,Pamplona Plantation Golf and Country Club,35.2106,0.1348,9.9069,0.096,10.1219,0.1062,34.5501,0.1297,9.7954,0.0934,9.4522,0.0897
15979150,,128.2292,0.0993,25.4637,0.0717,25.9891,0.074,126.5952,0.1851,25.095,0.1326,25.2574,0.119
4429331,Mimosa Golf & Country Club,102.3033,0.1304,18.0472,0.0702,18.6477,0.0602,99.9593,0.12,19.6325,0.0734,18.8897,0.0592
82710489,Wack Wack Golf and Country Club,35.9633,0.0988,8.4823,0.0858,9.3565,0.0739,37.2683,0.0799,9.0192,0.0531,9.2969,0.0529
178099994,Del Monte Golf and Country Club,87.7218,0.1205,18.7361,0.0882,26.5555,0.1147,84.9524,0.1412,20.2567,0.091,27.6371,0.097
128948346,The Country Club,46.4782,0.099,11.6686,0.0692,14.7449,0.0553,45.6384,0.1046,12.6281,0.0657,14.0588,0.0546
5172611,Malarayat Golf Course,52.0922,0.0753,16.8732,0.0619,15.3787,0.0531,51.1357,0.1192,16.917,0.0703,15.2809,0.0657
148049007,Subic Golf Club,124.7372,0.1221,28.2401,0.0637,24.1585,0.0684,123.2957,0.0854,27.2973,0.0576,24.1197,0.0608
238203194,Zamboanga City Golf Club and Beach Resort,39.2255,0.132,9.1166,0.0632,11.0927,0.0835,39.4592,0.1272,8.4887,0.0902,10.3792,0.1047
7896490,The Pinewoods Golf and Country Club,140.2509,0.1089,39.636,0.0736,31.7087,0.0837,149.9957,0.1058,39.609,0.0782,36.1052,0.0926
31712056,Eastridge Golf & Country Club,92.7955,0.0927,16.5095,0.06,24.526,0.0848,90.536,0.1208,15.755,0.0761,23.0691,0.0815
144672538,Tagaytay Midlands Golf Club,43.1565,0.1126,8.8132,0.0654,11.1115,0.0677,42.4265,0.1227,8.0419,0.0566,11.428,0.0624
98969670,Alta Vista Golf & Country Club,26.1271,0.0987,7.1597,0.0963,10.4576,0.0859,27.5574,0.0958,8.1979,0.0827,10.105,0.0697
1571908,Southlinks Golf Club,132.0568,0.1347,27.7584,0.0927,31.0309,0.0682,131.292,0.1015,28.8361,0.0536,31.4428,0.0542
152586409,Mercedes Plantation golf and Country Club,101.0642,0.1155,30.252,0.0883,27.9878,0.0987,96.2709,0.1564,28.2163,0.1216,27.8011,0.1076
138947548,Summit Point Golf & Residential Estates,54.7458,0.0792,13.7217,0.065,15.6819,0.0686,52.9233,0.1192,13.3876,0.0922,15.1213,0.0797
1259077065,New Asia Golf & Spa Resort,123.9078,0.117,22.1835,0.0703,21.4243,0.0727,118.5007,0.1279,23.7453,0.0749,21.2741,0.0884
1921827,Pueblo de Oro Golf and Country Club,46.0985,0.1137,14.5244,0.09,14.8351,0.0735,45.8831,0.1111,13.6856,0.0834,14.5293,0.0684
312033052,Calatagan Golf Club,118.5884,0.0909,25.1806,0.0546,30.0786,0.0772,116.7748,0.1165,26.3687,0.065,28.8563,0.0732
220338864,Mayon Golf Course,37.2021,0.0758,5.5919,0.055,11.2637,0.0971,36.5099,0.1046,6.3618,0.0558,10.5576,0.0609
153513050,Evercrest Golf Club and Resort,38.529,0.0996,7.5036,0.0583,11.9483,0.0508,37.469,0.0973,7.2752,0.0497,12.1515,0.0425
173399846,Air Force City Golf Course,96.9627,0.1296,19.0969,0.0836,14.663,0.0531,98.2842,0.1052,19.1145,0.0683,16.1246,0.0545
99512563,Royal Northwoods,37.7329,0.073,8.4008,0.0508,7.5605,0.047,37.1053,0.1096,8.0132,0.0648,7.4818,0.059
511373987,Victorias Golf and Country Club,64.1741,0.1201,23.3702,0.0876,25.1523,0.0913,63.5727,0.1428,23.1689,0.1053,25.2714,0.0823
286864651,Hallow Ridge Filipinas Golf,55.8855,0.1151,12.8501,0.0873,16.5782,0.0799,56.5215,0.1122,12.3014,0.0675,15.6786,0.0686
13509276,Ayala Greenfield Golf and Leisure Club,81.1383,0.088,17.4825,0.0538,26.3774,0.0532,78.1737,0.1126,17.6169,0.0685,26.3131,0.0686
1120578954,South Pacific Davao Golf Club,40.4931,0.089,10.2513,0.0782,10.6489,0.0815,38.9924,0.1085,10.107,0.0664,10.3917,0.0658
30478360,Apo Golf and Country Club,42.0376,0.1092,12.7768,0.1135,10.183,0.0679,42.0132,0.1113,12.5823,0.0898,10.611,0.0589
17250995,Lakewood Golf Course,63.9841,0.1037,12.2023,0.0641,10.6148,0.0727,62.0445,0.1518,11.8545,0.1275,10.3541,0.0994
