osm_id,name,irrigation_signal,se_signal,lo,hi,golf_n_base,golf_n_elnino,golf_n_latest
107017060,Canlubang Golf and Country Club,0.0043,0.0523,-0.0982,0.1068,34.4255,7.9958,12.2175
8791554,Orchard Residential Estate Golf and Country Club,0.027,0.0397,-0.0508,0.1048,50.3782,13.4269,13.0337
2406385,Forest Hills Golf and Country Club,-0.0088,0.0313,-0.0702,0.0526,85.4329,18.707,19.0998
106350883,Luisita Golf & Country Club,-0.0244,0.0425,-0.1078,0.059,117.9916,25.819,24.6694
10296616,Eagle Ridge Golf Club,0.03,0.0469,-0.0619,0.1219,38.2513,9.3387,12.7484
18207481,Sun Valley Golf Club,0.0443,0.0317,-0.0179,0.1065,82.397,21.0098,16.0814
987623407,Sherwood Hills Golf Club,0.0803,0.0449,-0.0077,0.1683,41.9944,10.9605,10.8787
1078077919,FA Korea Country Club,0.0353,0.0354,-0.0341,0.1047,99.9145,18.6576,19.3316
11907837,Riviera Golf Course,0.0323,0.0509,-0.0674,0.132,41.4196,8.1478,13.8151
347091162,D'heights Golf Course,0.0222,0.0375,-0.0513,0.0957,84.837,16.6462,18.138
146701718,Santa Elena Golf Course and Country Club,0.0352,0.0431,-0.0492,0.1196,51.6233,15.0136,14.8897
16611953,Manila Southwoods Golf and Country Club,0.0587,0.0369,-0.0135,0.1309,51.0881,12.6795,13.5209
15571615,Pamplona Plantation Golf and Country Club,-0.0556,0.0666,-0.1861,0.0749,35.2106,9.9069,10.1219
15979150,,0.0392,0.0443,-0.0477,0.1261,128.2292,25.4637,25.9891
4429331,Mimosa Golf & Country Club,0.0476,0.0367,-0.0243,0.1195,102.3033,18.0472,18.6477
82710489,Wack Wack Golf and Country Club,-0.0422,0.0505,-0.1412,0.0568,35.9633,8.4823,9.3565
178099994,Del Monte Golf and Country Club,-0.0188,0.0439,-0.1047,0.0671,87.7218,18.7361,26.5555
128948346,The Country Club,0.0225,0.0435,-0.0627,0.1077,46.4782,11.6686,14.7449
5172611,Malarayat Golf Course,0.0516,0.0377,-0.0223,0.1255,52.0922,16.8732,15.3787
148049007,Subic Golf Club,0.038,0.0264,-0.0138,0.0898,124.7372,28.2401,24.1585
238203194,Zamboanga City Golf Club and Beach Resort,-0.1377,0.0595,-0.2542,-0.0212,39.2255,9.1166,11.0927
7896490,The Pinewoods Golf and Country Club,0.0143,0.0266,-0.0378,0.0664,140.2509,39.636,31.7087
31712056,Eastridge Golf & Country Club,0.0873,0.0363,0.0161,0.1585,92.7955,16.5095,24.526
144672538,Tagaytay Midlands Golf Club,0.0922,0.0491,-0.004,0.1884,43.1565,8.8132,11.1115
98969670,Alta Vista Golf & Country Club,-0.0451,0.0667,-0.1759,0.0857,26.1271,7.1597,10.4576
1571908,Southlinks Golf Club,-0.1677,0.0313,-0.2291,-0.1063,132.0568,27.7584,31.0309
152586409,Mercedes Plantation golf and Country Club,-0.0454,0.0428,-0.1293,0.0385,101.0642,30.252,27.9878
138947548,Summit Point Golf & Residential Estates,0.0831,0.0456,-0.0063,0.1725,54.7458,13.7217,15.6819
1259077065,New Asia Golf & Spa Resort,0.0799,0.0333,0.0146,0.1452,123.9078,22.1835,21.4243
1921827,Pueblo de Oro Golf and Country Club,0.0435,0.0504,-0.0552,0.1422,46.0985,14.5244,14.8351
312033052,Calatagan Golf Club,-0.0004,0.027,-0.0533,0.0525,118.5884,25.1806,30.0786
220338864,Mayon Golf Course,0.017,0.0483,-0.0776,0.1116,37.2021,5.5919,11.2637
153513050,Evercrest Golf Club and Resort,-0.0049,0.0452,-0.0936,0.0838,38.529,7.5036,11.9483
173399846,Air Force City Golf Course,-0.0258,0.0375,-0.0993,0.0477,96.9627,19.0969,14.663
99512563,Royal Northwoods,0.0765,0.0451,-0.0119,0.1649,37.7329,8.4008,7.5605
511373987,Victorias Golf and Country Club,-0.0311,0.0461,-0.1214,0.0592,64.1741,23.3702,25.1523
286864651,Hallow Ridge Filipinas Golf,-0.0096,0.0473,-0.1023,0.0831,55.8855,12.8501,16.5782
13509276,Ayala Greenfield Golf and Leisure Club,0.0285,0.0329,-0.036,0.093,81.1383,17.4825,26.3774
1120578954,South Pacific Davao Golf Club,0.0222,0.049,-0.0739,0.1183,40.4931,10.2513,10.6489
30478360,Apo Golf and Country Club,0.0019,0.0592,-0.114,0.1178,42.0376,12.7768,10.183
17250995,Lakewood Golf Course,-0.0609,0.0594,-0.1774,0.0556,63.9841,12.2023,10.6148
4913973,Alabang Country Club,-0.0186,0.0238,-0.0652,0.028,129.2843,27.1195,33.7527
1262766897,South Forbes Golf Club,0.0049,0.0506,-0.0943,0.1041,38.8877,8.3787,11.6551
