osm_id,name,golf_tree,golf_shrub,golf_grass,golf_crop,golf_built,golf_bare,golf_water,golf_wetland,golf_mangrove,ring_tree,ring_shrub,ring_grass,ring_crop,ring_built,ring_bare,ring_water,ring_wetland,ring_mangrove
107017060,Canlubang Golf and Country Club,0.5668,0,0.4084,0.0183,0.0031,0,0.0034,0,0,0.7021,0,0.192,0.0677,0.0382,0,0,0,0
8791554,Orchard Residential Estate Golf and Country Club,0.3597,0,0.5034,0.0251,0.1064,0.0006,0.0049,0,0,0.4295,0,0.2277,0.1144,0.228,0.0004,0,0,0
2406385,Forest Hills Golf and Country Club,0.6609,0,0.3306,0.0012,0.0064,0,0.001,0,0,0.8729,0,0.0845,0.013,0.0264,0.0022,0.0009,0,0
106350883,Luisita Golf & Country Club,0.5788,0,0.3792,0.0137,0.0233,0,0.0042,0.0008,0,0.3698,0.0002,0.2004,0.3401,0.0887,0.0009,0,0,0
10296616,Eagle Ridge Golf Club,0.3304,0,0.6648,0.0036,0.0012,0,0,0,0,0.3495,0,0.4582,0.1313,0.0605,0,0.0004,0,0
18207481,Sun Valley Golf Club,0.7446,0,0.1689,0.0148,0.0634,0.0004,0.0079,0,0,0.7946,0,0.0729,0.0463,0.0594,0.0268,0,0,0
987623407,Sherwood Hills Golf Club,0.2768,0,0.4071,0.2984,0.0136,0,0.004,0,0,0.5472,0,0.0602,0.1997,0.1641,0.0288,0,0,0
1078077919,FA Korea Country Club,0.0798,0,0.8789,0.0132,0.0165,0.0116,0.0001,0,0,0.2541,0,0.4212,0.0959,0.1123,0.1133,0.0031,0,0
11907837,Riviera Golf Course,0.3529,0,0.626,0.0033,0.0179,0,0,0,0,0.6462,0,0.1461,0.1343,0.0733,0.0002,0,0,0
347091162,D'heights Golf Course,0.4072,0,0.5783,0.0,0.0143,0.0001,0,0,0,0.6555,0,0.2372,0.0334,0.0167,0.0547,0.0026,0,0
146701718,Santa Elena Golf Course and Country Club,0.4358,0,0.5099,0.026,0.0145,0.0005,0.0133,0,0,0.5315,0,0.1254,0.1245,0.2143,0.0023,0,0.002,0
16611953,Manila Southwoods Golf and Country Club,0.2793,0,0.67,0.0037,0.0358,0.0008,0.0095,0.0009,0,0.4233,0,0.0994,0.1535,0.3236,0.0002,0,0,0
15571615,Pamplona Plantation Golf and Country Club,0.7285,0,0.2459,0.0235,0.0002,0.002,0,0,0,0.8627,0,0.0476,0.0882,0.0015,0,0,0,0
15979150,,0.0024,0,0.8936,0.0371,0.0255,0.0006,0.0246,0.0162,0,0.0247,0,0.1849,0.7809,0.0033,0.0062,0,0,0
4429331,Mimosa Golf & Country Club,0.2537,0,0.7006,0.0249,0.0067,0.0063,0.0078,0,0,0.6199,0,0.0925,0.0127,0.2683,0.0059,0.0008,0,0
82710489,Wack Wack Golf and Country Club,0.4932,0,0.4756,0.0014,0.0202,0.0002,0.0094,0,0,0.1501,0,0.0025,0.0009,0.8414,0.005,0,0,0
178099994,Del Monte Golf and Country Club,0.4915,0,0.4561,0.0093,0.0026,0,0.0405,0,0,0.5571,0,0.261,0.1246,0.0564,0.0009,0,0,0
128948346,The Country Club,0.0838,0,0.8032,0.0663,0.027,0.0014,0.0182,0,0,0.41,0,0.1375,0.1325,0.3007,0.0194,0,0,0
5172611,Malarayat Golf Course,0.0699,0,0.9134,0.003,0.0013,0,0.0123,0,0,0.3614,0,0.34,0.157,0.1395,0.0021,0.0,0,0
148049007,Subic Golf Club,0.4216,0,0.4894,0.0044,0.0107,0.0013,0.0538,0.016,0.0028,0.8992,0,0.0074,0.0013,0.0372,0.0009,0,0,0.0541
238203194,Zamboanga City Golf Club and Beach Resort,0.6013,0,0.3563,0.0021,0.0349,0.0001,0.0032,0.0021,0,0.3862,0.0024,0.0372,0.0191,0.2005,0.0007,0.3269,0.027,0
7896490,The Pinewoods Golf and Country Club,0.1436,0,0.7927,0.0069,0.0357,0.0189,0.0023,0,0,0.6868,0,0.1103,0.0034,0.1984,0.0011,0,0,0
31712056,Eastridge Golf & Country Club,0.3122,0,0.6307,0.0367,0.0131,0,0.0073,0,0,0.7536,0,0.0389,0.1264,0.0494,0.0191,0.0125,0,0
144672538,Tagaytay Midlands Golf Club,0.3078,0,0.6682,0.0062,0.0047,0,0.0132,0,0,0.5643,0,0.2485,0.095,0.092,0.0001,0.0001,0,0
98969670,Alta Vista Golf & Country Club,0.6063,0,0.37,0,0.0237,0,0,0,0,0.7026,0,0.0727,0.0006,0.2197,0.0044,0,0,0
