osm_id,name,ring_grass_frac,golf_wet,ring_grass_wet,wet_gap
107017060,Canlubang Golf and Country Club,0.1796,0.759,0.6774,0.0816
8791554,Orchard Residential Estate Golf and Country Club,0.2108,0.6239,0.6875,-0.0636
2406385,Forest Hills Golf and Country Club,0.091,0.7038,0.5868,0.1171
106350883,Luisita Golf & Country Club,0.1982,0.7141,0.6913,0.0228
10296616,Eagle Ridge Golf Club,0.2861,0.7112,0.679,0.0322
18207481,Sun Valley Golf Club,0.0827,0.6491,0.4914,0.1577
987623407,Sherwood Hills Golf Club,0.1486,0.6846,0.6808,0.0037
1078077919,FA Korea Country Club,0.3262,0.6435,0.592,0.0515
11907837,Riviera Golf Course,0.1229,0.651,0.6902,-0.0392
347091162,D'heights Golf Course,0.1891,0.7525,0.663,0.0895
146701718,Santa Elena Golf Course and Country Club,0.1236,0.6737,0.6936,-0.0199
16611953,Manila Southwoods Golf and Country Club,0.078,0.6377,0.6196,0.0182
15571615,Pamplona Plantation Golf and Country Club,0.0414,0.6836,0.637,0.0466
15979150,,0.1693,0.6034,0.516,0.0874
4429331,Mimosa Golf & Country Club,0.1416,0.6693,0.6492,0.0202
82710489,Wack Wack Golf and Country Club,0.0009,0.6593,0.4217,0.2376
178099994,Del Monte Golf and Country Club,0.1342,0.677,0.6649,0.0121
128948346,The Country Club,0.1613,0.6329,0.6806,-0.0477
5172611,Malarayat Golf Course,0.2377,0.6621,0.6887,-0.0266
148049007,Subic Golf Club,0.0206,0.6459,0.5333,0.1126
238203194,Zamboanga City Golf Club and Beach Resort,0.0368,0.744,0.6045,0.1395
7896490,The Pinewoods Golf and Country Club,0.0755,0.5647,0.6093,-0.0446
31712056,Eastridge Golf & Country Club,0.0535,0.6788,0.5723,0.1065
144672538,Tagaytay Midlands Golf Club,0.1075,0.6759,0.5588,0.1172
98969670,Alta Vista Golf & Country Club,0.0482,0.6897,0.5667,0.123
1571908,Southlinks Golf Club,0.0693,0.7691,0.5748,0.1942
152586409,Mercedes Plantation golf and Country Club,0.2025,0.6475,0.6418,0.0057
138947548,Summit Point Golf & Residential Estates,0.2176,0.6702,0.6623,0.008
1259077065,New Asia Golf & Spa Resort,0.2205,0.6143,0.5396,0.0748
1921827,Pueblo de Oro Golf and Country Club,0.1216,0.649,0.5851,0.0638
312033052,Calatagan Golf Club,0.207,0.7651,0.6916,0.0735
220338864,Mayon Golf Course,0.1222,0.6215,0.4964,0.1252
153513050,Evercrest Golf Club and Resort,0.1612,0.769,0.6752,0.0938
173399846,Air Force City Golf Course,0.1258,0.6608,0.6246,0.0362
99512563,Royal Northwoods,0.2265,0.624,0.6415,-0.0175
